CID_Outside_Identifier,Practice Size,Practice Size Code,Specialty,Specialty Code,CFPR,NCR,CPL45,DARO120,DAR
6941-1-1,Single Provider,1,Mental Health,1,0.8344,0.9942,0.8641,0.0913,26.41189
7341-1-1,Single Provider,1,Mental Health,1,0.8346,1.0289,0.6754,0.034,31.795096
5404-1-2,Small Practice,2,Mental Health,1,0.8359,0.9209,0.624,0.0084,36.797333
4724-1-2,Small Practice,2,Mental Health,1,0.8369,0.9642,0.4678,0.2832,69.988296
7187-1-2,Small Practice,2,Mental Health,1,0.8372,0.9037,0.7471,0.0233,38.128367
5929-1-2,Small Practice,2,Mental Health,1,0.8385,1,0.9557,0,18.746594
7256-1-1,Single Provider,1,Mental Health,1,0.8387,0.9751,0.7527,0.0215,33.344086
7337-1-1,Single Provider,1,Mental Health,1,0.84,1,0.2,0,22.2
245-1-1,Single Provider,1,Mental Health,1,0.8403,0.9551,0.9753,0.0038,16.074713
6682-1-4,Big Practice,4,Mental Health,1,0.8409,0.8522,0.7086,0.0214,48.30509
7291-1-1,Single Provider,1,Mental Health,1,0.8409,1.0092,0.2727,0,53.763158
3514-1-1,Single Provider,1,Mental Health,1,0.841,0.9123,0.808,0.0195,29.324604
7513-1-4,Big Practice,4,Mental Health,1,0.8414,0.7837,0.8317,0,22.094504
6193-1-1,Single Provider,1,Mental Health,1,0.8441,0.993,0.4513,0.0287,35.684535
4324-1-1,Single Provider,1,Mental Health,1,0.8443,0.7607,0.7473,0.0147,30.808594
7681-1-1,Single Provider,1,Mental Health,1,0.8455,0.5584,0.1455,0,42.333333
7739-1-1,Single Provider,1,Mental Health,1,0.8462,0.5427,0.6667,0,14.153846
2833-1-2,Small Practice,2,Mental Health,1,0.8474,0.8581,0.6374,0.0233,40.560927
471-1-1,Single Provider,1,Mental Health,1,0.8478,0.8472,0.5879,0.0105,35.92517
1763-1-1,Single Provider,1,Mental Health,1,0.8484,0.7182,0.7281,0.0052,22.641667
5981-1-1,Single Provider,1,Mental Health,1,0.8485,0.6239,0.6572,0.0227,28.882353
6827-1-2,Small Practice,2,Mental Health,1,0.8512,0.8301,0.772,0.0596,33.810335
7002-1-2,Small Practice,2,Mental Health,1,0.8516,1.0081,0.8762,0,21.517309
7237-1-1,Single Provider,1,Mental Health,1,0.8537,1,1,0,18.487805
7186-1-1,Single Provider,1,Mental Health,1,0.8548,0.8641,0.7097,0.0161,30.196429
4024-1-4,Big Practice,4,Mental Health,1,0.8561,0.9897,0.8303,0.0184,39.16341913
7036-1-4,Big Practice,4,Mental Health,1,0.8567,0.9734,0.4792,0.1084,56.636274
7503-1-1,Single Provider,1,Mental Health,1,0.8571,0.577,0.6667,0,36.025
6578-1-2,Small Practice,2,Mental Health,1,0.8593,0.8078,0.7062,0.0395,32.016393
5143-1-1,Single Provider,1,Mental Health,1,0.8607,0.9091,0.7098,0.0224,30.616559
6217-1-4,Big Practice,4,Mental Health,1,0.861,1.0003,0.9738,0.0016,23.101051
3643-1-4,Big Practice,4,Mental Health,1,0.8613,0.9424,0.6016,0.06,216.6390485
7920-1-1,Single Provider,1,Mental Health,1,0.8614,1,0.8713,0,24.454545
5141-1-1,Single Provider,1,Mental Health,1,0.8615,1,0.9615,0,20.184615
7684-1-1,Single Provider,1,Mental Health,1,0.8615,0.7408,0.7846,0,25.354839
6642-1-1,Single Provider,1,Mental Health,1,0.8624,0.9309,0.3982,0.0571,62.372549
7042-1-1,Single Provider,1,Mental Health,1,0.8636,0.9233,0.5909,0.0152,33.661017
7560-1-1,Single Provider,1,Mental Health,1,0.8644,0.8922,0.7729,0.0034,31.594306
5951-1-4,Big Practice,4,Mental Health,1,0.8645,0.9531,0.8504,0.0273,28.7653435
5309-1-1,Single Provider,1,Mental Health,1,0.8649,0.9236,0.422,0.0293,49.966125
6868-1-4,Big Practice,4,Mental Health,1,0.8659,1.0005,0.7993,0.0282,30.79062727
7018-1-1,Single Provider,1,Mental Health,1,0.8659,0.9378,0.5976,0,49.382716
6440-1-1,Single Provider,1,Mental Health,1,0.8661,0.9176,0.7857,0,16.229167
6754-1-3,Medium Practice,3,Mental Health,1,0.8669,0.8542,0.5851,0.0313,37.839161
6777-1-2,Small Practice,2,Mental Health,1,0.8672,0.8211,0.7891,0.0078,31.256
7769-1-2,Small Practice,2,Mental Health,1,0.8676,0.9683,0.8658,0,24.44086
3628-1-2,Small Practice,2,Mental Health,1,0.8678,0.7714,0.8267,0.0191,27.488722
3465-1-2,Small Practice,2,Mental Health,1,0.8686,1,0.5254,0.1186,50.684211
5936-1-1,Single Provider,1,Mental Health,1,0.8686,0.9704,0.5707,0.0223,37.858584
2782-1-1,Single Provider,1,Mental Health,1,0.8689,1.0019,0.8689,0.0164,30.377049
7821-1-2,Small Practice,2,Mental Health,1,0.8689,0.9649,0.8072,0,19.330129
6000-1-1,Single Provider,1,Mental Health,1,0.8702,0.842,0.534,0.067,52.862445
6772-1-1,Single Provider,1,Mental Health,1,0.8713,0.6996,0.7327,0.0099,37.6
7399-1-2,Small Practice,2,Mental Health,1,0.8717,0.5751,0.5582,0.0451,38.204969
4750-1-2,Small Practice,2,Mental Health,1,0.8722,0.6589,0.5181,0.0294,35.76699
7236-1-2,Small Practice,2,Mental Health,1,0.8739,1,0.2477,0.0766,57.211712
6719-1-3,Medium Practice,3,Mental Health,1,0.8742,0.8935,0.7891,0.0095,29.476601
6330-1-2,Small Practice,2,Mental Health,1,0.8743,1,0.9308,0.0023,12.031825
6583-1-4,Big Practice,4,Mental Health,1,0.8744,0.9455,0.7317,0.021,32.846057
7342-1-1,Single Provider,1,Mental Health,1,0.8746,0.4787,0.3656,0,32.616766
1600-1-3,Medium Practice,3,Mental Health,1,0.8747,0.8771,0.8578,0.0048,33.14328
7315-1-1,Single Provider,1,Mental Health,1,0.875,0.7166,0.775,0,12.774194
5762-1-2,Small Practice,2,Mental Health,1,0.8754,0.8861,0.6548,0.0243,36.417006
7479-1-2,Small Practice,2,Mental Health,1,0.8755,0.9831,0.7117,0.0189,34.64216433
4923-1-1,Single Provider,1,Mental Health,1,0.876,1.0283,0.8463,0.0094,27.950858
6847-1-1,Single Provider,1,Mental Health,1,0.8777,0.7921,0.6758,0.0262,35.374282
6635-1-2,Small Practice,2,Mental Health,1,0.8788,0.932,0.3881,0.1096,58.501168
6361-1-1,Single Provider,1,Mental Health,1,0.8806,0.9499,0.7923,0.0195,30.096352
7278-1-1,Single Provider,1,Mental Health,1,0.8816,0.8221,0.8198,0.0026,12.533846
6702-1-1,Single Provider,1,Mental Health,1,0.8819,0.8193,0.5374,0.0965,50.045175
4312-1-1,Single Provider,1,Mental Health,1,0.882,0.0447,0.809,0,21.852564
6890-1-4,Big Practice,4,Mental Health,1,0.8828,0.8973,0.5874,0.0307,38.82336
7863-1-2,Small Practice,2,Mental Health,1,0.8833,1.0815,0.7333,0,24.490909
5084-1-1,Single Provider,1,Mental Health,1,0.8834,0.9822,0.4296,0.0744,58.05749
6856-1-1,Single Provider,1,Mental Health,1,0.8834,0.9764,0.8957,0,21.870968
368-1-1,Single Provider,1,Mental Health,1,0.8841,1.3908,0.6787,0.0256,40.731156
7615-1-4,Big Practice,4,Mental Health,1,0.8842,0.3013,0.5083,0.0009,18.6600735
5514-1-2,Small Practice,2,Mental Health,1,0.8855,1.005,0.9316,0.0153,16.816077
7860-1-1,Single Provider,1,Mental Health,1,0.8855,0.7841,0.7445,0,20.640449
5388-1-2,Small Practice,2,Mental Health,1,0.8856,0.9035,0.7912,0.0309,30.694761
5184-1-2,Small Practice,2,Mental Health,1,0.8874,0.885,0.8469,0.0129,21.003666
2318-1-1,Single Provider,1,Mental Health,1,0.8875,0.7879,0.3084,0.0398,59.40162
7883-1-2,Small Practice,2,Mental Health,1,0.8879,1,1,0,12.747664
5883-1-2,Small Practice,2,Mental Health,1,0.8889,1.0603,0.3889,0.1111,55.4
6207-1-1,Single Provider,1,Mental Health,1,0.8889,1,0.5,0.0556,51.097222
7133-1-1,Single Provider,1,Mental Health,1,0.8889,0.9716,0.812,0,24
7348-1-4,Big Practice,4,Mental Health,1,0.889,0.9955,1.1771,0.0155,40.71522415
7371-1-2,Small Practice,2,Mental Health,1,0.89,0.8821,0.6436,0.055,38.400458
7817-1-1,Single Provider,1,Mental Health,1,0.8902,0.9125,0.6672,0,26.780439
4346-1-2,Small Practice,2,Mental Health,1,0.8903,0.8895,0.7067,0.0289,34.770186
7338-1-2,Small Practice,2,Mental Health,1,0.891,0.6293,0.7486,0.0177,24.768216
1758-1-2,Small Practice,2,Mental Health,1,0.8917,0.8388,0.4332,0.0781,48.432526
6464-1-4,Big Practice,4,Mental Health,1,0.8918,0.9388,0.8405,0.0142,30.62222281
5349-1-1,Single Provider,1,Mental Health,1,0.8926,0.9415,0.8386,0.0232,32.743263
2369-1-1,Single Provider,1,Mental Health,1,0.8929,0.9929,0.9643,0.0357,18.218045
314-1-1,Single Provider,1,Mental Health,1,0.8929,0.9445,0.5026,0.1865,66.140381
7454-1-2,Small Practice,2,Mental Health,1,0.8936,1.0652,0.5319,0,40.833333
4572-1-1,Single Provider,1,Mental Health,1,0.8938,0.7583,0.6018,0.0354,44.060773
1745-1-1,Single Provider,1,Mental Health,1,0.894,0.8765,0.6864,0.0504,37.100665
3706-1-4,Big Practice,4,Mental Health,1,0.8952,1.0062,0.7441,0.0327,41.04517675
4376-1-1,Single Provider,1,Mental Health,1,0.8953,0.9123,0.9967,0,12.860233
4028-1-4,Big Practice,4,Mental Health,1,0.8963,0.931,0.7215,0.0155,35.711017
714-1-1,Single Provider,1,Mental Health,1,0.8965,0.9832,0.8486,0.0207,27.356098
7781-1-1,Single Provider,1,Mental Health,1,0.8966,0.9518,0.7931,0,28.482759
721-1-4,Big Practice,4,Mental Health,1,0.8973,0.8993,0.3661,0.0762,62.09261718
6354-1-4,Big Practice,4,Mental Health,1,0.8974,0.8782,0.8554,0.0027,18.95972
7628-1-4,Big Practice,4,Mental Health,1,0.8978,0.9499,0.8075,0,24.339545
6723-1-1,Single Provider,1,Mental Health,1,0.898,1,0.3673,0,17.611111
7417-1-3,Medium Practice,3,Mental Health,1,0.8988,0.896,0.8971,0.0041,21.752902
6002-1-4,Big Practice,4,Mental Health,1,0.8989,0.9816,0.6576,0.0641,41.247032
7661-1-2,Small Practice,2,Mental Health,1,0.9,0.7205,0.8586,0.0002,20.270076
6604-1-1,Single Provider,1,Mental Health,1,0.9001,0.9168,0.5869,0.2066,54.612637
6906-1-4,Big Practice,4,Mental Health,1,0.9007,0.9855,0.7747,0.0062,19.1270551
3475-1-1,Single Provider,1,Mental Health,1,0.9012,1,1,0,16.13494
3523-1-4,Big Practice,4,Mental Health,1,0.9012,0.9546,0.7733,0.0321,30.38417111
3456-1-3,Medium Practice,3,Mental Health,1,0.9018,0.7236,0.7321,0.0261,29.227655
6183-1-1,Single Provider,1,Mental Health,1,0.902,0.7724,0.756,0.0196,30.274463
6445-1-1,Single Provider,1,Mental Health,1,0.9024,0.8467,0.6585,0.0488,41.0875
1955-1-4,Big Practice,4,Mental Health,1,0.9025,0.9008,0.8443,0.0023,23.321709
7009-1-2,Small Practice,2,Mental Health,1,0.9027,0.9493,0.8956,0.0124,21.511628
3350-1-4,Big Practice,4,Mental Health,1,0.9037,0.9901,0.6613,0.046,54.10624517
7023-1-1,Single Provider,1,Mental Health,1,0.9037,0.4254,0.4838,0.0077,22.481763
3920-1-4,Big Practice,4,Mental Health,1,0.9038,0.9293,0.6909,0.0179,43.41098813
4071-1-1,Single Provider,1,Mental Health,1,0.9048,0.6795,0.7063,0,34.417391
5611-1-4,Big Practice,4,Mental Health,1,0.9048,1.0173,0.9051,0.0124,25.92197889
7076-1-4,Big Practice,4,Mental Health,1,0.9056,0.8843,0.7379,0.0328,29.069099
7378-1-1,Single Provider,1,Mental Health,1,0.9061,0.9919,0.9218,0.0014,19.885838
7705-1-2,Small Practice,2,Mental Health,1,0.9064,0.8021,0.9328,0,18.79932
5854-1-1,Single Provider,1,Mental Health,1,0.9068,0.8659,0.8478,0.0182,24.045055
4361-1-2,Small Practice,2,Mental Health,1,0.9073,0.9931,0.7288,0.0354,36.320939
7595-1-1,Single Provider,1,Mental Health,1,0.9073,0.8787,0.3767,0.0229,43.768792
7608-1-1,Single Provider,1,Mental Health,1,0.9079,0.994,0.7688,0.0034,27.534454
2215-1-1,Single Provider,1,Mental Health,1,0.908,0.9812,0.8819,0.0077,23.580894
7590-1-3,Medium Practice,3,Mental Health,1,0.9085,0.712,0.7225,0.0041,34.110375
6893-1-1,Single Provider,1,Mental Health,1,0.9091,1,0.7955,0,21.5
7281-1-1,Single Provider,1,Mental Health,1,0.9091,1,0.5455,0.2273,73.863636
7274-1-3,Medium Practice,3,Mental Health,1,0.9093,0.7103,0.3439,0.0483,45.693206
5264-1-3,Medium Practice,3,Mental Health,1,0.9094,0.9374,0.5985,0.0337,42.12825057
5230-1-1,Single Provider,1,Mental Health,1,0.9096,0.9028,0.7741,0.0226,27.619171
6332-1-2,Small Practice,2,Mental Health,1,0.9101,0.8043,0.7193,0.0477,131.305389
7210-1-1,Single Provider,1,Mental Health,1,0.9101,1.0111,0.5439,0.1315,56.047693
1617-1-4,Big Practice,4,Mental Health,1,0.9106,0.773,0.7643,0.024,38.64826254
7948-1-1,Single Provider,1,Mental Health,1,0.9115,0.6337,0.6416,0,19.92053
5231-1-2,Small Practice,2,Mental Health,1,0.9125,0.9264,0.6792,0.0718,42.906834
6752-1-1,Single Provider,1,Mental Health,1,0.9125,0.915,0.7611,0.0059,32.369208
7955-1-1,Single Provider,1,Mental Health,1,0.9126,0.9826,0.9903,0,24.117647
4692-1-1,Single Provider,1,Mental Health,1,0.9128,0.8353,0.8023,0.0097,22.664516
5013-1-4,Big Practice,4,Mental Health,1,0.913,0.9329,0.9375,0.0112,22.38730678
6310-1-1,Single Provider,1,Mental Health,1,0.913,0.9355,0.7101,0.0435,37.529412
7982-1-5,Unkown,5,Mental Health,1,0.913,0.9125,0.8696,0,11.3
7166-1-2,Small Practice,2,Mental Health,1,0.9131,0.8526,0.5512,0.0134,26.621795
3937-1-3,Medium Practice,3,Mental Health,1,0.9136,0.9528,0.8716,0.0076,22.949702
7347-1-2,Small Practice,2,Mental Health,1,0.9137,0.8382,0.7794,0.0029,23.788924
1705-1-2,Small Practice,2,Mental Health,1,0.9143,0.8517,0.7381,0.0181,35.027778
6936-1-1,Single Provider,1,Mental Health,1,0.9147,0.8038,0.6225,0.0517,41.546351
6507-1-2,Small Practice,2,Mental Health,1,0.9148,0.9696,0.5927,0.059,48.093444
5481-1-3,Medium Practice,3,Mental Health,1,0.9152,1.0242,0.352,0,19.692308
6528-1-1,Single Provider,1,Mental Health,1,0.9156,0.936,0.5885,0.0063,34.042929
7774-1-2,Small Practice,2,Mental Health,1,0.916,1.0073,0.9173,0,27.34398975
3919-1-1,Single Provider,1,Mental Health,1,0.9161,0.9915,0.6387,0.0258,42.437086
3328-1-4,Big Practice,4,Mental Health,1,0.9167,0.9401,0.7695,0.0297,32.92544467
6683-1-1,Single Provider,1,Mental Health,1,0.9174,0.8051,0.7917,0.0118,25.752617
4952-1-1,Single Provider,1,Mental Health,1,0.9178,0.9409,0.3699,0.0411,61.676056
4955-1-2,Small Practice,2,Mental Health,1,0.918,0.9505,0.8748,0.0086,19.97929
6250-1-2,Small Practice,2,Mental Health,1,0.9183,0.9716,0.626,0.0758,44.375271
7631-1-3,Medium Practice,3,Mental Health,1,0.9183,1.0001,0.9242,0,20.60574556
929-1-1,Single Provider,1,Mental Health,1,0.9189,1,0.9385,0.0357,18.486155
925-1-2,Small Practice,2,Mental Health,1,0.9191,0.9693,0.8064,0.0243,32.770666
4705-1-1,Single Provider,1,Mental Health,1,0.9193,0.978,0.8069,0.0144,31.557803
113-1-1,Single Provider,1,Mental Health,1,0.9198,0.7933,0.537,0.0802,46.973684
6023-1-1,Single Provider,1,Mental Health,1,0.9204,0.987,0.7724,0.0112,34.790989
5649-1-2,Small Practice,2,Mental Health,1,0.9208,0.9707,0.7408,0.031,34.629453
6428-1-1,Single Provider,1,Mental Health,1,0.9209,0.7637,0.6949,0.0282,32.140127
3418-1-4,Big Practice,4,Mental Health,1,0.921,0.9974,0.7458,0.0114,27.503521
6817-1-2,Small Practice,2,Mental Health,1,0.921,1.0602,0.7547,0.0169,27.88062817
7675-1-4,Big Practice,4,Mental Health,1,0.9211,1.0837,0.907,0.0006,17.656398
6841-1-1,Single Provider,1,Mental Health,1,0.9215,0.8188,0.7195,0.0424,34.508715
280-1-1,Single Provider,1,Mental Health,1,0.9216,0.7721,0.4216,0.0588,61.691358
6763-1-3,Medium Practice,3,Mental Health,1,0.9216,0.8744,0.7323,0.0275,31.159337
7580-1-1,Single Provider,1,Mental Health,1,0.9216,0.917,0.6405,0,36.337931
7467-1-1,Single Provider,1,Mental Health,1,0.9223,0.5896,0.6218,0,27.719178
338-1-2,Small Practice,2,Mental Health,1,0.9229,0.8633,0.7183,0.0202,33.285481
2476-1-2,Small Practice,2,Mental Health,1,0.9231,1,0.5385,0,45.230769
6840-1-1,Single Provider,1,Mental Health,1,0.9231,0.5226,0.3615,0.0231,34.677419
7162-1-1,Single Provider,1,Mental Health,1,0.9231,0.9231,0.8462,0,22.090909
7747-1-1,Single Provider,1,Mental Health,1,0.9231,0.8384,0.7912,0,29.091954
5823-1-3,Medium Practice,3,Mental Health,1,0.9232,0.9659,0.843,0.0159,30.1314
6585-1-1,Single Provider,1,Mental Health,1,0.9233,0.9222,0.8466,0.0045,27.711684
633-1-1,Single Provider,1,Mental Health,1,0.9235,0.9874,0.8412,0.0118,27.305882
3997-1-4,Big Practice,4,Mental Health,1,0.924,0.9999,0.7406,0.0024,26.2796942
4582-1-1,Single Provider,1,Mental Health,1,0.9242,1,0.5853,0.1303,55.819477
5072-1-3,Medium Practice,3,Mental Health,1,0.9244,0.8532,0.6607,0.0547,38.35302
5524-1-2,Small Practice,2,Mental Health,1,0.9244,0.9731,0.8413,0.0089,33.118666
3434-1-4,Big Practice,4,Mental Health,1,0.9245,0.9818,0.8358,0.0077,32.427411
6711-1-2,Small Practice,2,Mental Health,1,0.925,0.862,0.7614,0.0318,31.663573
7592-1-1,Single Provider,1,Mental Health,1,0.925,1,0.95,0,19.05
3367-1-4,Big Practice,4,Mental Health,1,0.9254,0.9941,0.7598,0.0293,39.432535
4100-1-1,Single Provider,1,Mental Health,1,0.9259,0.8789,0.6882,0.0171,28.876168
3778-1-3,Medium Practice,3,Mental Health,1,0.9262,0.8492,0.6463,0.0531,39.768535
7005-1-4,Big Practice,4,Mental Health,1,0.9268,0.9209,0.8465,0.0136,50.021938
5494-1-2,Small Practice,2,Mental Health,1,0.927,0.9751,0.3431,0,49.5479305
1507-1-1,Single Provider,1,Mental Health,1,0.9274,0.8935,0.6116,0.0269,41.184593
4304-1-1,Single Provider,1,Mental Health,1,0.9275,0.9327,0.6315,0.0787,45.953684
4759-1-3,Medium Practice,3,Mental Health,1,0.928,0.9813,0.8795,0.025,30.002546
6881-1-2,Small Practice,2,Mental Health,1,0.9285,0.7733,0.8121,0.0024,23.240741
7869-1-1,Single Provider,1,Mental Health,1,0.9286,1,1,0,17.642857
6618-1-2,Small Practice,2,Mental Health,1,0.9301,0.8899,0.7782,0.0149,29.717314
3225-1-2,Small Practice,2,Mental Health,1,0.9302,0.9273,0.632,0.0101,31.962264
6363-1-1,Single Provider,1,Mental Health,1,0.9306,0.7599,0.6019,0.0417,36.190217
6797-1-1,Single Provider,1,Mental Health,1,0.9307,1,0.7782,0,31.380208
5091-1-4,Big Practice,4,Mental Health,1,0.9309,1.0002,0.9714,0.0041,12.426613
2984-1-3,Medium Practice,3,Mental Health,1,0.931,1.0121,0.739,0.0548,36.354249
6555-1-1,Single Provider,1,Mental Health,1,0.931,0.9731,0.8483,0.0276,30.763889
6517-1-1,Single Provider,1,Mental Health,1,0.9311,0.7098,0.6578,0.0297,28.923575
4383-1-2,Small Practice,2,Mental Health,1,0.9312,0.9131,0.8259,0.0029,15.395396
688-1-4,Big Practice,4,Mental Health,1,0.9314,0.6696,0.5934,0.0163,44.68730764
1270-1-2,Small Practice,2,Mental Health,1,0.9315,0.58,0.4673,0.0276,42.708071
